Símbolo,Descrição,Emissor,País ou região do emissor,Setor,Indústria,Classificação S&P do emissor (longo prazo),Classificação da Fitch do emissor (longo prazo),Classificação S&P do emissor (curto prazo),Classificação da Fitch do emissor (curto prazo),Crédito pai
TXJ9X,Government of Argentina FRN 29-JUN-2029,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXD9X,Government of Argentina FRN 14-DEC-2029,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXJ0X,Government of Argentina FRN 28-JUN-2030,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXJ8X,Government of Argentina FRN 30-JUN-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TMG8X,Government of Argentina FRN 31-AUG-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TMG28,Government of Argentina FRN 31-AUG-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXO6X,Government of Argentina 0.0% 30-OCT-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXMJ0,Government of Argentina FRN 28-JUN-2030,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
SS6X,Government of Argentina 0.0% 30-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXS7X,Government of Argentina 0.0% 30-SEP-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXS8X,Government of Argentina 0.0% 29-SEP-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
MG6Z,Government of Argentina 0.0% 31-AUG-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TZXS7,Government of Argentina 0.0% 30-SEP-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
S2S6X,Government of Argentina 0.0% 15-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TMF7X,Government of Argentina FRN 26-FEB-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXMJ8,Government of Argentina FRN 30-JUN-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TZXO6,Government of Argentina 0.0% 30-OCT-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
S2S6Z,Government of Argentina 0.0% 15-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TZXS8,Government of Argentina 0.0% 29-SEP-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXM7X,Government of Argentina 0.0% 31-MAR-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TZXM7,Government of Argentina 0.0% 31-MAR-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
S15S6,Government of Argentina 0.0% 15-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXMJ9,Government of Argentina FRN 29-JUN-2029,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXMD9,Government of Argentina FRN 14-DEC-2029,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
BUG6X,Province of Chubut FRN 31-AUG-2026,Province of Chubut,Argentina,Governo,Província/Estado,,CC,,NR,
TMG8Z,Government of Argentina FRN 31-AUG-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXM7Z,Government of Argentina 0.0% 31-MAR-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
MG6X,Government of Argentina 0.0% 31-AUG-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXY7X,Government of Argentina 0.0% 31-MAY-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TMF7Z,Government of Argentina FRN 26-FEB-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
T2D8X,Government of Argentina 0.0% 15-DEC-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXO7X,Government of Argentina 0.0% 29-OCT-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
S30S6,Government of Argentina 0.0% 30-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
SS6Y,Government of Argentina 0.0% 30-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TTS26,Government of Argentina FRN 15-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TMF8X,Government of Argentina FRN 25-FEB-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
B3S6X,Province of Chubut FRN 21-SEP-2026,Province of Chubut,Argentina,Governo,Província/Estado,,CC,,NR,
TXJ0Z,Government of Argentina FRN 28-JUN-2030,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXM7Y,Government of Argentina 0.0% 31-MAR-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
SS6Z,Government of Argentina 0.0% 30-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
COD7X,Province of Cordoba 9.75% 05-DEC-2027,Province of Córdoba,Argentina,Governo,Província/Estado,NR,B-,,NR,
SS6C,Government of Argentina 0.0% 30-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
M31G6,Government of Argentina 0.0% 31-AUG-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
SO6X,Government of Argentina 0.0% 30-OCT-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
C2D7X,Province of Cordoba FRN 05-DEC-2027,Province of Córdoba,Argentina,Governo,Província/Estado,NR,B-,,NR,
TXJ9Z,Government of Argentina FRN 29-JUN-2029,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXO6Z,Government of Argentina 0.0% 30-OCT-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXJ0Y,Government of Argentina FRN 28-JUN-2030,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXD9Z,Government of Argentina FRN 14-DEC-2029,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TXJ8Z,Government of Argentina FRN 30-JUN-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
XN6X,Government of Argentina 0.0% 30-NOV-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
XN6Z,Government of Argentina 0.0% 30-NOV-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TTS6X,Government of Argentina FRN 15-SEP-2026,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TY7Z,Government of Argentina 2.4% 31-MAY-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
C3D7X,Province of Cordoba 9.75% 05-DEC-2027,Province of Córdoba,Argentina,Governo,Província/Estado,NR,B-,,NR,
TY7X,Government of Argentina 2.4% 31-MAY-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
TMF27,Government of Argentina FRN 26-FEB-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
EE27X,Province of Entre Rios FRN 17-JAN-2027,Province of Entre Ríos,Argentina,Governo,Província/Estado,B-,,,,
CY27X,Province of Cordoba 4.5% 24-MAY-2027,Province of Córdoba,Argentina,Governo,Província/Estado,NR,B-,,NR,
TZXD8,Government of Argentina 0.0% 15-DEC-2028,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
SFN7X,Province of Santa Fe FRN 25-NOV-2027,Province of Santa Fe,Argentina,Governo,Província/Estado,,,,,
T31Y7,Government of Argentina 2.4% 31-MAY-2027,Government of Argentina,Argentina,Governo,Soberano,B-,,B,,
